unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,vehicle_type
66514426,2025-10-18T01:33:58.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11101,2-01 50 AVENUE,50 AVENUE,ADDRESS,LONG ISLAND CITY,,In Progress,,,2025-10-18T01:44:29.000,02 QUEENS,4000170028,QUEENS,995740,210189,MOBILE,Unspecified,QUEENS,40.74358938719232,-73.95853475352008,"{'latitude': '40.74358938719232', 'longitude': '-73.95853475352008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16858,53,3,33,66,66,CENTER BOULEVARD,2 STREET,CENTER BOULEVARD,2 STREET,50 AVENUE,
66523504,2025-10-18T01:33:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10305,20 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,ADDRESS,STATEN ISLAND,,In Progress,,,,02 STATEN ISLAND,5031250116,STATEN ISLAND,966982,156412,ONLINE,Unspecified,STATEN ISLAND,40.59597421974536,-74.06217919709624,"{'latitude': '40.59597421974536', 'longitude': '-74.06217919709624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10692,30,1,14,76,76,LILY POND AVENUE,ROBIN ROAD,LILY POND AVENUE,ROBIN ROAD,FATHER CAPODANNO BOULEVARD,
66515747,2025-10-18T01:33:44.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11237,RANDOLPH STREET,RANDOLPH STREET,INTERSECTION,,,In Progress,,,,01 BROOKLYN,,BROOKLYN,1004312,197638,MOBILE,Unspecified,BROOKLYN,40.70912466567081,-73.92763744740627,"{'latitude': '40.70912466567081', 'longitude': '-73.92763744740627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13828,36,2,30,56,56,RANDOLPH STREET,VARICK AVENUE,RANDOLPH STREET,VARICK AVENUE,,
66517164,2025-10-18T01:33:32.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11691,1520 BEACH   12 STREET,BEACH   12 STREET,ADDRESS,FAR ROCKAWAY,,In Progress,,,,14 QUEENS,4155020011,QUEENS,1053963,162197,PHONE,Unspecified,QUEENS,40.61159545359421,-73.74891601413314,"{'latitude': '40.61159545359421', 'longitude': '-73.74891601413314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20529,51,3,47,59,59,REDFERN AVENUE,NASSAU CNTY BOUNDARY,REDFERN AVENUE,NASSAU CNTY BOUNDARY,BEACH   12 STREET,
66518827,2025-10-18T01:33:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,175 TROUTMAN STREET,TROUTMAN STREET,ADDRESS,BROOKLYN,,In Progress,,,,04 BROOKLYN,3031730049,BROOKLYN,1004120,194683,MOBILE,Unspecified,BROOKLYN,40.70101432245599,-73.92833870024161,"{'latitude': '40.70101432245599', 'longitude': '-73.92833870024161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17213,42,2,30,53,53,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,TROUTMAN STREET,
66523372,2025-10-18T01:32:58.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11101,2-01 50 AVENUE,50 AVENUE,ADDRESS,LONG ISLAND CITY,,In Progress,,,2025-10-18T01:43:55.000,02 QUEENS,4000170028,QUEENS,995740,210189,MOBILE,Unspecified,QUEENS,40.74358938719232,-73.95853475352008,"{'latitude': '40.74358938719232', 'longitude': '-73.95853475352008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16858,53,3,33,66,66,CENTER BOULEVARD,2 STREET,CENTER BOULEVARD,2 STREET,50 AVENUE,Car
66512996,2025-10-18T01:32:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,11414,155-07 HURON STREET,HURON STREET,ADDRESS,HOWARD BEACH,,In Progress,,,,10 QUEENS,4115910069,QUEENS,1029444,181746,ONLINE,Unspecified,QUEENS,40.66541216842627,-73.83709443058372,"{'latitude': '40.66541216842627', 'longitude': '-73.83709443058372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15314,62,3,41,64,64,155 AVENUE,156 AVENUE,155 AVENUE,156 AVENUE,HURON STREET,
66517267,2025-10-18T01:32:45.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,ADDRESS,STATEN ISLAND,,In Progress,,,2025-10-18T02:11:22.000,03 STATEN ISLAND,5079980130,STATEN ISLAND,915172,126929,PHONE,Unspecified,STATEN ISLAND,40.51479698515648,-74.24843667559824,"{'latitude': '40.51479698515648', 'longitude': '-74.24843667559824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10694,15,1,9,77,77,WEIR LANE,MAIN STREET,WEIR LANE,MAIN STREET,ELLIS STREET,
66518848,2025-10-18T01:32:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,173 LUDLOW STREET,LUDLOW STREET,ADDRESS,NEW YORK,,In Progress,,,2025-10-18T01:42:40.000,03 MANHATTAN,1004120029,MANHATTAN,987714,202243,MOBILE,Unspecified,MANHATTAN,40.72178635514414,-73.98750316634177,"{'latitude': '40.72178635514414', 'longitude': '-73.98750316634177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,32,4,4,STANTON STREET,EAST    1 STREET,STANTON STREET,EAST    1 STREET,LUDLOW STREET,
66512825,2025-10-18T01:32:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11216,BEDFORD PLACE,BEDFORD PLACE,BLOCKFACE,,,In Progress,,,2025-10-18T01:57:39.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,BREVOORT PLACE,ATLANTIC AVENUE,BREVOORT PLACE,ATLANTIC AVENUE,,
66512827,2025-10-18T01:32:13.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11375,99-44 67 ROAD,67 ROAD,ADDRESS,FOREST HILLS,,In Progress,,,2025-10-18T01:39:43.000,06 QUEENS,4031690031,QUEENS,1024703,203258,ONLINE,Unspecified,QUEENS,40.72448046621805,-73.85405453785015,"{'latitude': '40.72448046621805', 'longitude': '-73.85405453785015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14786,40,3,28,70,70,AUSTIN STREET,BOOTH STREET,AUSTIN STREET,BOOTH STREET,67 ROAD,
66514326,2025-10-18T01:32:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11201,55 CLARK STREET,CLARK STREET,ADDRESS,BROOKLYN,,In Progress,,,2025-10-18T02:16:24.000,02 BROOKLYN,3002310001,BROOKLYN,985933,193473,ONLINE,Unspecified,BROOKLYN,40.697715303250725,-73.99393054925939,"{'latitude': '40.697715303250725', 'longitude': '-73.99393054925939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16865,68,2,38,54,54,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,CLARK STREET,
66518818,2025-10-18T01:31:47.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10040,160 BENNETT AVENUE,BENNETT AVENUE,ADDRESS,NEW YORK,,In Progress,,,,12 MANHATTAN,1021800340,MANHATTAN,1002414,250933,ONLINE,Unspecified,MANHATTAN,40.85540931212554,-73.93433933605257,"{'latitude': '40.85540931212554', 'longitude': '-73.93433933605257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098,47,4,39,22,22,WEST  187 STREET,WEST  189 STREET,WEST  187 STREET,WEST  189 STREET,BENNETT AVENUE,
66521864,2025-10-18T01:31:27.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11378,64-49 PERRY AVENUE,PERRY AVENUE,ADDRESS,MASPETH,,In Progress,,,,05 QUEENS,4027157501,QUEENS,1011690,203014,ONLINE,Unspecified,QUEENS,40.72386068319175,-73.90100350438395,"{'latitude': '40.72386068319175', 'longitude': '-73.90100350438395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14788,54,3,34,62,62,64 STREET,REMSEN PLACE,64 STREET,REMSEN PLACE,PERRY AVENUE,
66515825,2025-10-18T01:31:21.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10454,336 EAST  140 STREET,EAST  140 STREET,ADDRESS,BRONX,,In Progress,,,2025-10-18T01:39:10.000,01 BRONX,2023020011,BRONX,1005380,234801,PHONE,Unspecified,BRONX,40.81112503579178,-73.92366842514048,"{'latitude': '40.81112503579178', 'longitude': '-73.92366842514048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10932,49,5,35,23,23,ALEXANDER AVENUE,DEAD END,ALEXANDER AVENUE,DEAD END,EAST  140 STREET,Car
66518826,2025-10-18T01:30:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,1965 LAFAYETTE AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,,In Progress,,,2025-10-18T02:18:31.000,09 BRONX,2036720001,BRONX,1024052,238896,ONLINE,Unspecified,BRONX,40.82230025720139,-73.85619211834099,"{'latitude': '40.82230025720139', 'longitude': '-73.85619211834099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11611,58,5,31,26,26,STICKBALL BOULEVARD,PUGSLEY AVENUE,STICKBALL BOULEVARD,PUGSLEY AVENUE,LAFAYETTE AVENUE,
66514273,2025-10-18T01:30:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11101,2-01 50 AVENUE,50 AVENUE,ADDRESS,LONG ISLAND CITY,,In Progress,,,2025-10-18T01:43:43.000,02 QUEENS,4000170028,QUEENS,995740,210189,MOBILE,Unspecified,QUEENS,40.74358938719232,-73.95853475352008,"{'latitude': '40.74358938719232', 'longitude': '-73.95853475352008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16858,53,3,33,66,66,CENTER BOULEVARD,2 STREET,CENTER BOULEVARD,2 STREET,50 AVENUE,
66515789,2025-10-18T01:30:27.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10454,480 EAST  143 STREET,EAST  143 STREET,ADDRESS,BRONX,,In Progress,,,2025-10-18T02:17:09.000,01 BRONX,2022870135,BRONX,1007012,234822,MOBILE,Unspecified,BRONX,40.81117862088772,-73.91777279975898,"{'latitude': '40.81117862088772', 'longitude': '-73.91777279975898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10932,49,5,35,23,23,WILLIS AVENUE,BROOK AVENUE,WILLIS AVENUE,BROOK AVENUE,EAST  143 STREET,
66523531,2025-10-18T01:29:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10025,526 WEST  112 STREET,WEST  112 STREET,ADDRESS,NEW YORK,,In Progress,,,2025-10-18T01:42:29.000,09 MANHATTAN,1018830050,MANHATTAN,994118,232507,MOBILE,Unspecified,MANHATTAN,40.804848398250705,-73.96435547197021,"{'latitude': '40.804848398250705', 'longitude': '-73.96435547197021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12422,37,4,23,17,17,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST  112 STREET,
66517165,2025-10-18T01:29:35.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,115-15 95 AVENUE,95 AVENUE,ADDRESS,SOUTH RICHMOND HILL,,In Progress,,,,09 QUEENS,4094010030,QUEENS,1031304,191253,PHONE,Unspecified,QUEENS,40.69149699332739,-73.83032354198323,"{'latitude': '40.69149699332739', 'longitude': '-73.83032354198323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24015,46,3,46,60,60,115 STREET,116 STREET,115 STREET,116 STREET,95 AVENUE,
66515807,2025-10-18T01:29:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10038,257 WATER STREET,WATER STREET,ADDRESS,NEW YORK,,In Progress,,,2025-10-18T01:56:11.000,01 MANHATTAN,1001070042,MANHATTAN,983776,197350,PHONE,Unspecified,MANHATTAN,40.70835690547118,-74.00170967256386,"{'latitude': '40.70835690547118', 'longitude': '-74.00170967256386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13096,56,4,32,1,1,PECK SLIP,DOVER STREET,PECK SLIP,DOVER STREET,WATER STREET,
66514271,2025-10-18T01:29:27.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11101,2-01 50 AVENUE,50 AVENUE,ADDRESS,LONG ISLAND CITY,,In Progress,,,2025-10-18T01:44:40.000,02 QUEENS,4000170028,QUEENS,995740,210189,MOBILE,Unspecified,QUEENS,40.74358938719232,-73.95853475352008,"{'latitude': '40.74358938719232', 'longitude': '-73.95853475352008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16858,53,3,33,66,66,CENTER BOULEVARD,2 STREET,CENTER BOULEVARD,2 STREET,50 AVENUE,
66515770,2025-10-18T01:29:02.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11209,8305 3 AVENUE,3 AVENUE,ADDRESS,BROOKLYN,,In Progress,,Your complaint has been received by the Police Department and additional information will be available later.,2025-10-18T02:18:51.000,10 BROOKLYN,3060170008,BROOKLYN,975870,167189,ONLINE,Unspecified,BROOKLYN,40.62556772752562,-74.0301883643091,"{'latitude': '40.62556772752562', 'longitude': '-74.0301883643091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,83 STREET,84 STREET,83 STREET,84 STREET,3 AVENUE,
66515790,2025-10-18T01:28:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10460,1662 VYSE AVENUE,VYSE AVENUE,ADDRESS,BRONX,,In Progress,,,2025-10-18T02:10:19.000,03 BRONX,2029970001,BRONX,1015578,243644,PHONE,Unspecified,BRONX,40.83536626751121,-73.88678716336261,"{'latitude': '40.83536626751121', 'longitude': '-73.88678716336261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11269,34,5,43,25,25,EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,VYSE AVENUE,
66517290,2025-10-18T01:28:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11414,155-07 HURON STREET,HURON STREET,ADDRESS,HOWARD BEACH,,In Progress,,,2025-10-18T01:41:15.000,10 QUEENS,4115910069,QUEENS,1029444,181746,ONLINE,Unspecified,QUEENS,40.66541216842627,-73.83709443058372,"{'latitude': '40.66541216842627', 'longitude': '-73.83709443058372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15314,62,3,41,64,64,155 AVENUE,156 AVENUE,155 AVENUE,156 AVENUE,HURON STREET,
66520372,2025-10-18T01:28:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10024,215 WEST   78 STREET,WEST   78 STREET,ADDRESS,NEW YORK,,In Progress,,,2025-10-18T02:04:36.000,07 MANHATTAN,1011700023,MANHATTAN,989941,224451,MOBILE,Unspecified,MANHATTAN,40.782740534884674,-73.97945017712279,"{'latitude': '40.782740534884674', 'longitude': '-73.97945017712279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12421,20,4,19,12,12,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST   78 STREET,
66514313,2025-10-18T01:28:27.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10462,2181 WALLACE AVENUE,WALLACE AVENUE,ADDRESS,BRONX,,In Progress,,,,11 BRONX,2043200042,BRONX,1021657,251121,MOBILE,Unspecified,BRONX,40.8558647549037,-73.86477725055627,"{'latitude': '40.8558647549037', 'longitude': '-73.86477725055627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11271,59,5,12,32,32,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,WALLACE AVENUE,
66521990,2025-10-18T01:27:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,1214 NOSTRAND AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,,In Progress,,,,09 BROOKLYN,3050470042,BROOKLYN,998037,178856,PHONE,Unspecified,BROOKLYN,40.6575843694729,-73.95030945770479,"{'latitude': '40.6575843694729', 'longitude': '-73.95030945770479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13509,17,2,11,44,44,HAWTHORNE STREET,WINTHROP STREET,HAWTHORNE STREET,WINTHROP STREET,NOSTRAND AVENUE,
66521965,2025-10-18T01:27:36.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11211,430 MASPETH AVENUE,MASPETH AVENUE,ADDRESS,BROOKLYN,,In Progress,,,2025-10-18T02:15:30.000,01 BROOKLYN,3029280020,BROOKLYN,1004309,201264,MOBILE,Unspecified,BROOKLYN,40.71907717346683,-73.92763746408583,"{'latitude': '40.71907717346683', 'longitude': '-73.92763746408583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613,36,2,30,56,56,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,MASPETH AVENUE,
66520370,2025-10-18T01:27:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11426,247-55 77 CRESCENT,77 CRESCENT,ADDRESS,BELLEROSE,,In Progress,,,2025-10-18T02:36:48.000,13 QUEENS,4084900002,QUEENS,1061122,210358,MOBILE,Unspecified,QUEENS,40.743726607671334,-73.72258240193139,"{'latitude': '40.743726607671334', 'longitude': '-73.72258240193139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24335,63,3,16,63,63,247 STREET,76 AVENUE,247 STREET,76 AVENUE,77 CRESCENT,
66517252,2025-10-18T01:26:58.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11378,60-35 55 STREET,55 STREET,ADDRESS,MASPETH,,In Progress,,,,05 QUEENS,4026480001,QUEENS,1008872,199884,ONLINE,Unspecified,QUEENS,40.71527788349824,-73.9111815692954,"{'latitude': '40.71527788349824', 'longitude': '-73.9111815692954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14788,54,3,34,62,62,FLUSHING AVENUE,NURGE AVENUE,FLUSHING AVENUE,NURGE AVENUE,55 STREET,Car
66512681,2025-10-18T01:26:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,35-11 103 STREET,103 STREET,ADDRESS,CORONA,,In Progress,,,,03 QUEENS,4017450045,QUEENS,1021647,214192,ONLINE,Unspecified,QUEENS,40.754504993411466,-73.86501910510104,"{'latitude': '40.754504993411466', 'longitude': '-73.86501910510104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14510,65,3,21,73,73,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,103 STREET,
66520414,2025-10-18T01:26:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,251 EAST    3 STREET,EAST    3 STREET,ADDRESS,NEW YORK,,In Progress,,,2025-10-18T02:01:47.000,03 MANHATTAN,1003860033,MANHATTAN,989377,202345,PHONE,Unspecified,MANHATTAN,40.72206551299674,-73.98150359849889,"{'latitude': '40.72206551299674', 'longitude': '-73.98150359849889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729,70,4,50,5,5,AVENUE B,AVENUE C,AVENUE B,AVENUE C,EAST    3 STREET,
